,pert_iname,trt,quantile,quant_low,quant_high,n_sig,n_sig_pos,n_sig_neg,n_sig_initial,moa
0,DFFB,trt_sh,1.543,0.796,1.543,13,10,3,27,
1,BRD-K54018158,trt_cp,1.442,0.729,1.442,11,9,2,15,
2,articaine,trt_cp,1.393,-1.022,1.393,10,4,6,19,Local anesthetic
3,SD-6-035-A11,trt_cp,1.391,0.772,1.391,12,9,3,20,
4,DUSP9,trt_sh,1.388,1.137,1.388,11,9,2,24,
5,tyrphostin-AG-835,trt_cp,1.387,0.902,1.387,13,10,3,19,Protein tyrosine kinase inhibitor
6,retapamulin,trt_cp,1.373,-0.877,1.373,18,9,9,42,protein synthesis inhibitor
7,TXNRD3,trt_sh,1.357,0.643,1.357,13,9,4,27,
8,GSTP1,trt_sh,1.34,0.945,1.34,23,21,2,33,
9,TARBP2,trt_sh,1.331,0.874,1.331,13,11,2,27,
10,EPOR,trt_sh,1.321,0.899,1.321,15,12,3,27,
11,FOXO4,trt_sh,1.32,0.783,1.32,31,23,8,66,
12,aphidicolin,trt_cp,1.313,0.877,1.313,14,12,2,42,RNA synthesis inhibitor
13,tyrphostin-AG-556,trt_cp,1.309,0.715,1.309,10,7,3,19,EGFR inhibitor
14,tegobuvir,trt_cp,1.304,0.845,1.304,24,19,5,42,"HCV inhibitor, protease inhibitor"
15,PPARD,trt_sh,1.298,0.674,1.298,11,8,3,27,
16,BRD-K22828860,trt_cp,1.298,0.391,1.298,12,8,4,17,
17,CFLAR,trt_oe,1.295,-0.811,1.295,10,6,4,16,
18,glycocholic-acid,trt_cp,1.295,-0.676,1.295,10,6,4,29,Cholesterol inhibitor
19,ASCC3,trt_sh,1.286,-0.59,1.286,28,17,11,72,
20,ATCAAGA,trt_sh.css,1.285,0.992,1.285,11,10,1,14,
21,MW-A1-18,trt_cp,1.279,0.857,1.279,12,9,3,17,
22,ABHD4,trt_sh,1.278,0.87,1.278,20,16,4,36,
23,ORM2,trt_lig,1.276,0.717,1.276,10,7,3,19,
24,TAS-103,trt_cp,1.274,0.759,1.274,25,18,7,42,topoisomerase inhibitor
25,ZNF501,trt_sh,1.272,-0.619,1.272,15,9,6,27,
26,DGKA,trt_sh,1.271,0.93,1.271,20,18,2,32,
27,TNFRSF11A,trt_lig,1.27,0.936,1.27,14,12,2,19,
28,GNAI3,trt_sh,1.27,-0.846,1.27,11,6,5,24,
29,MXD4,trt_sh,1.268,0.779,1.268,13,12,1,24,
30,MECP2,trt_sh,1.267,-0.602,1.267,13,8,5,26,
31,valrubicin,trt_cp,1.263,1.005,1.263,27,22,5,42,"DNA inhibitor, topoisomerase inhibitor"
32,GPR107,trt_sh,1.262,0.673,1.262,14,11,3,27,
33,SYT1,trt_sh,1.25,1.061,1.25,15,13,2,30,
34,ethotoin,trt_cp,1.249,0.442,1.249,11,8,3,19,Hydantoin antiepileptic
35,clofarabine,trt_cp,1.249,0.852,1.249,28,22,6,61,Ribonucleoside reductase inhibitor
36,ERF,trt_sh,1.249,0.754,1.249,16,12,4,24,
37,MEK1-2-inhibitor,trt_cp,1.246,-0.679,1.246,12,7,5,19,MEK inhibitor
38,FTL,trt_sh,1.243,0.741,1.243,13,9,4,24,
39,17-hydroxyprogesterone-caproate,trt_cp,1.241,0.914,1.241,23,19,4,55,Progesterone receptor agonist
40,PITPNA,trt_sh,1.241,-0.77,1.241,13,7,6,24,
41,KIAA0907,trt_sh,1.239,0.63,1.239,23,16,7,38,
42,BRD-K51998148,trt_cp,1.239,0.854,1.239,10,8,2,18,
43,erythromycin-estolate,trt_cp,1.234,0.717,1.234,10,7,3,23,Bacterial 50S ribosomal subunit inhibitor
44,SALL4,trt_sh,1.233,-0.801,1.233,10,5,5,27,
45,KLK6,trt_sh,1.233,0.952,1.233,20,15,5,27,
46,pralatrexate,trt_cp,1.231,0.886,1.231,27,24,3,42,dihydrofolate reductase inhibitor
47,ECH1,trt_sh,1.231,-0.612,1.231,16,10,6,39,
48,gimeracil,trt_cp,1.23,1.011,1.23,23,20,3,42,dihydropyrimidine dehydrogenase inhibitor
49,ABHD2,trt_sh,1.225,1.031,1.225,15,14,1,27,
50,adarotene,trt_cp,1.224,0.697,1.224,23,17,6,42,retinoid receptor agonist
51,CYB561,trt_sh,1.223,0.971,1.223,16,16,0,36,
52,CTGF,trt_sh,1.222,-0.915,1.222,12,7,5,24,
53,tacalcitol,trt_cp,1.222,0.764,1.222,21,15,6,42,vitamin D receptor agonist
54,marimastat,trt_cp,1.222,0.876,1.222,16,13,3,42,matrix metalloprotease inhibitor
55,MTSS1,trt_sh,1.221,0.841,1.221,15,13,2,27,
56,APOA1,trt_sh,1.22,-0.982,1.22,10,5,5,27,
57,MED1,trt_sh,1.22,0.009,1.22,12,8,4,30,
58,ADAT1,trt_sh,1.22,0.752,1.22,19,15,4,42,
59,CBX4,trt_sh,1.219,0.907,1.219,12,11,1,24,
60,PTPLA,trt_sh,1.219,-0.344,1.219,17,11,6,39,
61,dronedarone,trt_cp,1.218,0.778,1.218,18,13,5,42,adrenergic receptor antagonist
62,ESD,trt_sh,1.217,0.922,1.217,13,11,2,24,
63,ZBTB24,trt_sh,1.216,0.685,1.216,25,20,5,42,
64,IKZF5,trt_sh,1.216,0.808,1.216,12,9,3,27,
65,YWHAH,trt_sh,1.215,-0.585,1.215,19,12,7,33,
66,CLK1,trt_sh,1.214,0.581,1.214,14,10,4,32,
67,NPBWR1,trt_sh,1.214,0.952,1.214,15,12,3,27,
68,CDCA4,trt_sh,1.214,0.777,1.214,34,24,10,72,
69,DMRTB1,trt_sh,1.212,0.869,1.212,17,13,4,24,
70,A2M,trt_sh,1.211,0.898,1.211,10,8,2,24,
71,DUSP22,trt_sh.cgs,1.21,0.777,1.21,10,9,1,11,
72,PLAT,trt_sh,1.209,0.867,1.209,20,17,3,33,
73,cefaclor,trt_cp,1.208,-0.815,1.208,13,8,5,17,Bacterial cell wall synthesis inhibitor
74,MED7,trt_sh,1.207,0.849,1.207,19,17,2,33,
75,RARB,trt_sh,1.206,-0.521,1.206,17,11,6,27,
76,cytochalasin-d,trt_cp,1.206,0.806,1.206,14,10,4,17,Actin polymerization inhibitor
77,pyrrolidine-dithiocarbamate,trt_cp,1.204,0.894,1.204,10,8,2,19,NFkB pathway inhibitor
78,PLAUR,trt_sh,1.204,-0.715,1.204,16,8,8,27,
79,disulfiram,trt_cp,1.203,-0.75,1.203,33,17,16,56,Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
80,suprofen,trt_cp,1.202,-0.489,1.202,25,16,9,46,Cyclooxygenase inhibitor
81,KLHL21,trt_sh,1.202,0.837,1.202,10,8,2,22,
82,CASP4,trt_sh,1.198,-0.527,1.198,13,8,5,24,
83,SR-33805,trt_cp,1.197,0.826,1.197,23,19,4,42,calcium channel blocker
84,PCNA,trt_sh,1.196,0.952,1.196,18,16,2,26,
85,UGISS-451,trt_cp,1.194,-0.922,1.194,12,7,5,17,
86,ISOC1,trt_sh,1.194,0.967,1.194,26,21,5,39,
87,ercalcitriol,trt_cp,1.193,0.823,1.193,19,16,3,42,vitamin D receptor agonist
88,sotrastaurin,trt_cp,1.193,0.763,1.193,25,18,7,57,PKC inhibitor
89,AHCY,trt_sh,1.193,-0.548,1.193,15,9,6,33,
90,GGCAAGA,trt_sh.css,1.193,-0.39,1.193,11,7,4,13,
91,MVP,trt_sh,1.192,0.882,1.192,16,13,3,33,
92,baicalin,trt_cp,1.192,0.582,1.192,17,12,5,42,beta glucuronidase inhibitor
93,BRD-A25416824,trt_cp,1.19,0.652,1.19,10,7,3,17,
94,MGAT1,trt_sh,1.19,-0.595,1.19,17,10,7,27,
95,TNFRSF6B,trt_sh,1.189,0.287,1.189,12,8,4,24,
96,TM7SF2,trt_sh,1.189,0.909,1.189,18,13,5,30,
